complaint,category,priority
there is a problem because lock is damaged in block a this needs to be repaired,Security,Medium
please check this there are cockroaches in my room in the hostel room please send someone to check,Pest Control,Medium
clothes are getting damaged in the machine please fix it,Laundry,Medium
laundry service is unavailable near my room this needs to be repaired,Laundry,Medium
the problem is that garbage has not been collected on the second floor please send someone to check,Cleaning,Medium
floor has not been cleaned in block c can someone look into this,Cleaning,Low
the problem is that study table is broken in the hostel room this needs to be repaired,Furniture,Medium
i want to report that door cannot be locked in room can someone look into this,Security,Medium
there is a problem because network signal is poor in my room i need help with this,Internet,Medium
i am facing an issue where washing machine is leaking near my room this needs to be repaired,Laundry,Medium
cupboard is not closing in my room can someone look into this,Furniture,Medium
i noticed that dryer is not heating in the hostel room i need help with this,Laundry,Medium
kindly fix this switch is not working near my room please send someone to check,Electrical,Medium
room light is not turning on in my room,Electrical,Medium
please check this food is repetitive kindly resolve this,Mess/Food,Low
the problem is that laundry room is closed in the hostel room kindly resolve this,Laundry,Medium
i want to report that bathroom is dirty near my room,Cleaning,Medium
there is a problem because there are rats in the hostel on the second floor can someone look into this,Pest Control,High
i am facing an issue where wifi signal is weak in my room kindly resolve this,Internet,Low
kindly fix this wall has water damage on the third floor this needs to be repaired,Maintenance,Medium
i am facing an issue where wall has water damage,Maintenance,Medium
in my room back gate is open in block c please send someone to check,Security,Medium
please check this cockroaches are coming from the bathroom near my room please send someone to check,Pest Control,Medium
i noticed that shower is not working in my room please send someone to check,Plumbing,Medium
my room has an issue there is a termite problem in block a please get this fixed soon,Pest Control,Medium
door latch is broken in block c i need help with this,Security,Medium
please check this dinner is served late in room this needs to be repaired,Mess/Food,Medium
in my room ants are everywhere in room please send someone to check,Pest Control,Medium
i am facing an issue where food is repetitive in the hostel room please send someone to check,Mess/Food,Low
my room has an issue socket has no power in room please fix it,Electrical,Medium
please check this drawer is stuck in block a please get this fixed soon,Furniture,Medium
in my room toilet is overflowing on the third floor i need help with this,Plumbing,High
i want to report that flies are everywhere in block c kindly resolve this,Pest Control,Medium
i am facing an issue where someone entered the room without permission on the second floor please send someone to check,Security,High
i noticed that wifi is not working in room can someone look into this,Internet,High
my room has an issue mess area is dirty in block a i need help with this,Mess/Food,Medium
i noticed that room cupboard is damaged in my room please get this fixed soon,Furniture,Medium
in my room washing machine is overloaded in my room can someone look into this,Laundry,Medium
the problem is that internet speed is very low in room,Internet,Medium
in my room device cannot connect to wifi please fix it,Internet,Medium
there is a problem because room lock is broken in the hostel room please fix it,Security,High
i noticed that corridor security camera is not working in my room i need help with this,Security,High
there is a problem because study table is damaged can someone look into this,Furniture,Medium
i want to report that mess food is often late in the hostel room,Mess/Food,Medium
please check this cutlery is not clean in block b,Mess/Food,Medium
i want to report that lost room key needs replacement in block b this needs to be repaired,Security,Medium
my room has an issue water in the mess is not clean in my room kindly resolve this,Mess/Food,Medium
kindly fix this internet stops during online classes on the second floor can someone look into this,Internet,Medium
bed has bed bugs in room,Pest Control,High
i noticed that visitor entered without permission please send someone to check,Security,Medium
i am facing an issue where geyser is not heating water in my room please send someone to check,Electrical,Medium
i am facing an issue where water is collecting on the bathroom floor in room kindly resolve this,Plumbing,Medium
the problem is that there is no internet in my room near my room please send someone to check,Internet,High
i want to report that geyser is not working in block a this needs to be repaired,Electrical,High
i want to report that exhaust fan is not working in room,Electrical,Medium
the problem is that geyser is not heating water in block c kindly resolve this,Electrical,Medium
i noticed that network signal is poor in block a i need help with this,Internet,Medium
there is a problem because washing machine is leaking in room please fix it,Laundry,Medium
i noticed that cannot connect to hostel wifi near my room this needs to be repaired,Internet,Medium
my room has an issue breakfast is not available in the hostel room please send someone to check,Mess/Food,Medium
there are rats in the hostel in block a please send someone to check,Pest Control,High
dinner is served late in room i need help with this,Mess/Food,Medium
i noticed that cannot connect to hostel wifi in my room kindly resolve this,Internet,Medium
the problem is that food is undercooked i need help with this,Mess/Food,Medium
my room has an issue dustbin is overflowing on the third floor i need help with this,Cleaning,Medium
window glass is cracked in room,Maintenance,Medium
my room has an issue drain is blocked i need help with this,Plumbing,Medium
in my room room needs pest control in room can someone look into this,Pest Control,Medium
i noticed that chair leg is loose near my room,Furniture,Medium
there is a problem because insects are present in the bathroom can someone look into this,Pest Control,Medium
kindly fix this table leg is broken on the third floor can someone look into this,Furniture,Low
please check this garbage is lying outside the room in block b please send someone to check,Cleaning,Medium
in my room wall is damp near my room kindly resolve this,Maintenance,Medium
please check this switch is not working in block a i need help with this,Electrical,Medium
i noticed that mess plates are dirty in the hostel room please fix it,Mess/Food,Medium
the problem is that security guard is not present in room please get this fixed soon,Security,High
in my room washing machine is overloaded on the second floor,Laundry,Medium
i am facing an issue where door handle is broken in the hostel room please fix it,Maintenance,Medium
in my room ceiling is leaking in block b please send someone to check,Maintenance,High
in my room dinner is served late in the hostel room i need help with this,Mess/Food,Medium
i noticed that window does not close in my room please get this fixed soon,Maintenance,Medium
please check this there is no internet in my room on the second floor kindly resolve this,Internet,High
i want to report that room needs maintenance in the hostel room this needs to be repaired,Maintenance,Medium
there is a problem because toilet is not clean in block a,Cleaning,Medium
i want to report that room cleaning has not been done in block c,Cleaning,Medium
i am facing an issue where bathroom is dirty in room please send someone to check,Cleaning,Medium
my room has an issue drawer is broken on the third floor i need help with this,Furniture,Medium
drain is blocked in room please fix it,Plumbing,Medium
i want to report that pest infestation in the room on the third floor please fix it,Pest Control,High
there is a problem because room cupboard is damaged near my room kindly resolve this,Furniture,Medium
i am facing an issue where floor has not been cleaned on the third floor,Cleaning,Low
i noticed that wifi keeps asking for login in my room can someone look into this,Internet,Medium
i am facing an issue where hostel internet is disconnected near my room can someone look into this,Internet,Medium
i noticed that vegetarian food is not available in block c,Mess/Food,Medium
i noticed that ceiling has cracks on the second floor can someone look into this,Maintenance,Medium
i am facing an issue where cupboard door is broken on the third floor this needs to be repaired,Furniture,Medium
there is a problem because ceiling has cracks on the second floor kindly resolve this,Maintenance,Medium
i noticed that cleaning staff has not visited near my room can someone look into this,Cleaning,Medium
in my room door latch is broken in the hostel room,Security,Medium
i want to report that breakfast is not available in block b please fix it,Mess/Food,Medium
i want to report that wash basin is clogged on the third floor i need help with this,Plumbing,Medium
my room has an issue dustbin is overflowing near my room this needs to be repaired,Cleaning,Medium
i am facing an issue where dirty water is on the floor in my room this needs to be repaired,Cleaning,Medium
there is a problem because pest infestation in the room in block c this needs to be repaired,Pest Control,High
please check this dryer is not heating please send someone to check,Laundry,Medium
my room has an issue insects are coming into the room in room this needs to be repaired,Pest Control,Medium
there is a problem because mess plates are dirty in block b please fix it,Mess/Food,Medium
please check this wall has cracks in room please send someone to check,Maintenance,Medium
in my room bathroom drain is clogged on the third floor i need help with this,Plumbing,Medium
there is a problem because internet stops during online classes in my room i need help with this,Internet,Medium
there is a problem because study chair is damaged in block b i need help with this,Furniture,Medium
my room has an issue room has not been swept in my room please fix it,Cleaning,Low
wifi works only sometimes in block b please fix it,Internet,Medium
i want to report that wall is damp on the second floor this needs to be repaired,Maintenance,Medium
i want to report that ac is not turning on on the third floor this needs to be repaired,Electrical,Medium
night lamp is not working in block a please fix it,Electrical,Medium
i noticed that door cannot be locked i need help with this,Security,Medium
i want to report that wall has water damage on the third floor,Maintenance,Medium
i want to report that unauthorized person entered the hostel on the second floor,Security,High
please check this food is too oily in block c this needs to be repaired,Mess/Food,Low
please check this someone entered the room without permission,Security,High
i noticed that bathroom has water leakage in block a please fix it,Plumbing,Medium
i am facing an issue where rat was seen in the corridor in block a can someone look into this,Pest Control,Medium
mattress is damaged on the third floor kindly resolve this,Furniture,Medium
i noticed that there is not enough food in the mess on the third floor please send someone to check,Mess/Food,Medium
in my room geyser is not heating water on the second floor please send someone to check,Electrical,Medium
kindly fix this pipe is leaking in block a please fix it,Plumbing,Medium
in my room mosquitoes are too many in my room this needs to be repaired,Pest Control,Medium
cutlery is not clean in room please send someone to check,Mess/Food,Medium
i noticed that curtain is damaged in room please fix it,Maintenance,Low
kindly fix this corridor is dirty near my room kindly resolve this,Cleaning,Medium
i am facing an issue where ceiling plaster is falling in my room please send someone to check,Maintenance,High
the problem is that wifi does not reach my room properly on the third floor please get this fixed soon,Internet,Medium
i noticed that insects are coming into the room in block a please get this fixed soon,Pest Control,Medium
kindly fix this dryer is not heating on the third floor,Laundry,Medium
there is a problem because dirty water is on the floor in my room please send someone to check,Cleaning,Medium
kindly fix this laundry room is closed in room i need help with this,Laundry,Medium
i am facing an issue where bed has bed bugs in room,Pest Control,High
kindly fix this fan is making a strange noise in room,Electrical,Medium
please check this food is not fresh in the hostel room please fix it,Mess/Food,High
the problem is that power is fluctuating in room please fix it,Electrical,Medium
i am facing an issue where lock is damaged in the hostel room please get this fixed soon,Security,Medium
i noticed that room cleaning has not been done please fix it,Cleaning,Medium
i am facing an issue where insects are coming into the room in my room kindly resolve this,Pest Control,Medium
the problem is that someone entered the room without permission in room please send someone to check,Security,High
corridor is dirty in block c kindly resolve this,Cleaning,Medium
i am facing an issue where ants are entering the room on the third floor please get this fixed soon,Pest Control,Medium
i want to report that bed frame is loose on the second floor kindly resolve this,Furniture,Medium
in my room someone entered the room without permission on the third floor kindly resolve this,Security,High
my room has an issue fan is not working near my room this needs to be repaired,Electrical,Medium
i am facing an issue where fan is making a strange noise in room please get this fixed soon,Electrical,Medium
in my room internet is very slow in the hostel room please fix it,Internet,Low
i noticed that there is a termite problem near my room this needs to be repaired,Pest Control,Medium
i want to report that shower has very low pressure in block b please send someone to check,Plumbing,Medium
i am facing an issue where dustbin has not been emptied in the hostel room please fix it,Cleaning,Medium
ac is leaking water in my room,Electrical,Medium
my room has an issue wifi is unavailable in room please get this fixed soon,Internet,Medium
there is a problem because lock is damaged on the second floor please fix it,Security,Medium
i am facing an issue where laundry machine keeps stopping in block c please fix it,Laundry,Medium
my room has an issue common area is not clean near my room please send someone to check,Cleaning,Medium
there is a problem because no water in the bathroom in room kindly resolve this,Plumbing,High
i noticed that shelf is broken in block a please send someone to check,Furniture,Medium
kindly fix this switch is not working in block c please send someone to check,Electrical,Medium
there is a problem because fan speed is very low near my room,Electrical,Medium
the problem is that hostel network is down in block a this needs to be repaired,Internet,High
my room has an issue ac is not cooling in the hostel room please send someone to check,Electrical,Medium
room has mosquitoes in block c i need help with this,Pest Control,Medium
please check this dryer is not working near my room i need help with this,Laundry,Medium
i want to report that breakfast is not available near my room please fix it,Mess/Food,Medium
my room has an issue bathroom floor is dirty in room please get this fixed soon,Cleaning,Medium
my room has an issue bathroom is dirty in block c kindly resolve this,Cleaning,Medium
i am facing an issue where door cannot be locked,Security,Medium
i am facing an issue where flies are everywhere on the third floor i need help with this,Pest Control,Medium
the problem is that rat was seen in the corridor in room please get this fixed soon,Pest Control,Medium
the problem is that switch is not working in block b please get this fixed soon,Electrical,Medium
i noticed that dryer is not heating on the second floor please get this fixed soon,Laundry,Medium
please check this cupboard is not closing please fix it,Furniture,Medium
kindly fix this ceiling fan stopped working near my room please send someone to check,Electrical,Medium
please check this wifi signal is weak in room please get this fixed soon,Internet,Low
i am facing an issue where bathroom has a bad smell,Cleaning,Medium
please check this vegetarian food is not available in block c,Mess/Food,Medium
the problem is that laundry machine is not starting in block a please send someone to check,Laundry,Medium
cleaning staff has not visited in room can someone look into this,Cleaning,Medium
please check this tiles are loose kindly resolve this,Maintenance,Medium
there is a problem because dustbin has not been emptied on the third floor i need help with this,Cleaning,Medium
bed frame is damaged please fix it,Furniture,Medium
kindly fix this geyser water is not coming in block c please get this fixed soon,Plumbing,Medium
i am facing an issue where room needs pest control on the third floor please fix it,Pest Control,Medium
please check this wifi does not reach my room properly in room please send someone to check,Internet,Medium
i want to report that room key is not working in room please get this fixed soon,Security,Medium
my room has an issue room light is not turning on in my room please get this fixed soon,Electrical,Medium
there is a problem because water supply is not available,Plumbing,High
room needs maintenance please send someone to check,Maintenance,Medium
please check this room light keeps flickering in block a this needs to be repaired,Electrical,Medium
my room has an issue dryer is not heating in the hostel room please get this fixed soon,Laundry,Medium
door latch is broken in block c please get this fixed soon,Security,Medium
there is a problem because dryer is not heating in block c please fix it,Laundry,Medium
hostel internet is disconnected in my room please get this fixed soon,Internet,Medium
internet connection is unstable in room this needs to be repaired,Internet,Medium
i am facing an issue where wifi is not working in room i need help with this,Internet,High
in my room laundry service is unavailable on the second floor please send someone to check,Laundry,Medium
there is a problem because corridor is dirty in my room can someone look into this,Cleaning,Medium
the problem is that drawer is stuck in my room this needs to be repaired,Furniture,Medium
my room has an issue internet speed is very low in the hostel room i need help with this,Internet,Medium
please check this cockroaches are coming from the bathroom in block b,Pest Control,Medium
please check this mosquito problem is severe on the third floor please get this fixed soon,Pest Control,Medium
i am facing an issue where laundry service is unavailable in my room please get this fixed soon,Laundry,Medium
please check this security light is not working in my room kindly resolve this,Security,High
i am facing an issue where drawer is stuck near my room can someone look into this,Furniture,Medium
kindly fix this garbage is lying outside the room on the second floor please fix it,Cleaning,Medium
i noticed that study table is damaged on the third floor this needs to be repaired,Furniture,Medium
i want to report that bed bugs are present in my room please fix it,Pest Control,High
in my room study chair is damaged in my room please fix it,Furniture,Medium
i want to report that night lamp is not working in the hostel room please get this fixed soon,Electrical,Medium
water pressure is very low on the second floor this needs to be repaired,Plumbing,Medium
there is a problem because door latch is broken on the third floor please send someone to check,Security,Medium
in my room table leg is broken in block a kindly resolve this,Furniture,Low
shelf is broken in room please fix it,Furniture,Medium
there is a problem because bed frame is damaged in block a i need help with this,Furniture,Medium
kindly fix this laundry machine keeps stopping in block a this needs to be repaired,Laundry,Medium
i want to report that bed has bed bugs in block a,Pest Control,High
the problem is that bathroom is dirty in room,Cleaning,Medium
kindly fix this hostel security is inadequate in room please get this fixed soon,Security,High
i am facing an issue where cockroach infestation needs treatment on the second floor please fix it,Pest Control,Medium
i want to report that room door does not lock properly on the third floor kindly resolve this,Security,Medium
i want to report that lock is damaged in my room can someone look into this,Security,Medium
in my room visitor entered without permission in room kindly resolve this,Security,Medium
i want to report that lock is damaged in the hostel room kindly resolve this,Security,Medium
i am facing an issue where washing machine has a strange noise near my room i need help with this,Laundry,Medium
i want to report that drawer is broken on the third floor i need help with this,Furniture,Medium
there is a problem because wardrobe lock is damaged in room i need help with this,Furniture,Medium
kindly fix this wifi password is not working near my room can someone look into this,Internet,Medium
there is a problem because dustbin has not been emptied near my room i need help with this,Cleaning,Medium
kindly fix this dryer is not heating in block b please fix it,Laundry,Medium
there is a problem because internet speed is very low in block b,Internet,Medium
my room has an issue power is not available in my room on the third floor,Electrical,High
the problem is that geyser water is not coming on the third floor please send someone to check,Plumbing,Medium
please check this washroom needs cleaning on the third floor i need help with this,Cleaning,Medium
kindly fix this door handle is broken on the third floor i need help with this,Maintenance,Medium
my room has an issue dryer keeps shutting down in my room please fix it,Laundry,Medium
in my room door latch is broken in my room,Security,Medium
please check this cleaning staff has not visited in room please get this fixed soon,Cleaning,Medium
my room has an issue wardrobe lock is damaged in block b this needs to be repaired,Furniture,Medium
in my room laundry machine keeps stopping in room please send someone to check,Laundry,Medium
i want to report that toilet is overflowing i need help with this,Plumbing,High
kindly fix this washing machine is not draining near my room kindly resolve this,Laundry,Medium
i want to report that bathroom is dirty in block a this needs to be repaired,Cleaning,Medium
the problem is that dryer is not working in the hostel room kindly resolve this,Laundry,Medium
in my room ceiling plaster is falling in block b can someone look into this,Maintenance,High
my room has an issue electrical switch is sparking in block c,Electrical,Medium
in my room room has not been swept in room can someone look into this,Cleaning,Low
please check this laundry area is dirty on the third floor please send someone to check,Laundry,Medium
in my room main gate is left open in block b please send someone to check,Security,Medium
i am facing an issue where mess area is dirty in block a can someone look into this,Mess/Food,Medium
cctv camera is not working in block b please fix it,Security,Medium
i am facing an issue where wardrobe lock is damaged in room i need help with this,Furniture,Medium
i noticed that drawer is broken in room kindly resolve this,Furniture,Medium
in my room geyser water is not coming on the second floor please fix it,Plumbing,Medium
i want to report that bathroom tap is broken in block c please fix it,Plumbing,Medium
i want to report that room smells unpleasant in my room can someone look into this,Cleaning,Medium
please check this drawer is stuck in the hostel room,Furniture,Medium
in my room room key is not working near my room please fix it,Security,Medium
my room has an issue there is a termite problem in the hostel room please fix it,Pest Control,Medium
my room has an issue ceiling fan stopped working in block c please get this fixed soon,Electrical,Medium
i want to report that bed has bed bugs please get this fixed soon,Pest Control,High
there is a problem because pipe is leaking in room this needs to be repaired,Plumbing,Medium
there is a problem because wifi password is not working in block c i need help with this,Internet,Medium
in my room breakfast is not available in block c,Mess/Food,Medium
there is a problem because switch is not working please send someone to check,Electrical,Medium
in my room there is no internet in my room near my room can someone look into this,Internet,High
i am facing an issue where bathroom tap is broken in block a please send someone to check,Plumbing,Medium
i am facing an issue where bathroom is dirty on the third floor please fix it,Cleaning,Medium
there is a problem because bed is broken in block a please send someone to check,Furniture,Medium
i noticed that bathroom floor is dirty in my room please get this fixed soon,Cleaning,Medium
kindly fix this geyser water is not coming on the second floor i need help with this,Plumbing,Medium
in my room chair leg is loose in my room,Furniture,Medium
the problem is that lock is damaged in room please send someone to check,Security,Medium
in my room water supply is not available on the third floor can someone look into this,Plumbing,High
my room has an issue mattress is uncomfortable and damaged in room please get this fixed soon,Furniture,Medium
there is a problem because shower has very low pressure in block a can someone look into this,Plumbing,Medium
i want to report that power socket is damaged in my room i need help with this,Electrical,Medium
my room has an issue laundry room equipment is damaged in room kindly resolve this,Laundry,Medium
there is a problem because bathroom tap is broken in my room this needs to be repaired,Plumbing,Medium
i want to report that bathroom floor is dirty in block b,Cleaning,Medium
i noticed that food is undercooked in my room this needs to be repaired,Mess/Food,Medium
there is a problem because shower has very low pressure in room please fix it,Plumbing,Medium
my room has an issue laundry service is unavailable in my room,Laundry,Medium
there is a problem because shower is not working in block c please send someone to check,Plumbing,Medium
in my room water is leaking from the ceiling on the second floor kindly resolve this,Plumbing,Medium
i noticed that geyser is not working this needs to be repaired,Electrical,High
there is a problem because washing machine is not draining on the third floor,Laundry,Medium
i am facing an issue where mattress is uncomfortable and damaged in block a please fix it,Furniture,Medium
i want to report that fan is making a strange noise in room please fix it,Electrical,Medium
there is a problem because flies are everywhere in my room please send someone to check,Pest Control,Medium
mess menu is not being followed,Mess/Food,Medium
please check this wifi works only sometimes in block c kindly resolve this,Internet,Medium
please check this wash basin tap is broken on the second floor please get this fixed soon,Plumbing,Medium
kindly fix this laundry service is unavailable on the third floor kindly resolve this,Laundry,Medium
please check this internet is very slow in room can someone look into this,Internet,Low
the problem is that wifi keeps asking for login on the third floor i need help with this,Internet,Medium
the problem is that mosquitoes are too many on the second floor,Pest Control,Medium
in my room cctv camera is not working in block c please fix it,Security,Medium
pipe has burst on the second floor please fix it,Plumbing,High
i want to report that pest infestation in the room near my room can someone look into this,Pest Control,High
the problem is that washing machine is not draining i need help with this,Laundry,Medium
my room has an issue bathroom tap is leaking in block b this needs to be repaired,Plumbing,Medium
i noticed that power socket is damaged in my room please fix it,Electrical,Medium
in my room door is damaged in my room this needs to be repaired,Maintenance,Medium
i am facing an issue where water is continuously dripping can someone look into this,Plumbing,Medium
please check this room lock is broken please fix it,Security,High
i am facing an issue where room light is not turning on on the second floor can someone look into this,Electrical,Medium
i want to report that bed is making noise in block a kindly resolve this,Furniture,Medium
study table is damaged please send someone to check,Furniture,Medium
i am facing an issue where laundry service is unavailable in my room i need help with this,Laundry,Medium
please check this cockroach infestation needs treatment near my room,Pest Control,Medium
in my room electrical switch is sparking near my room please get this fixed soon,Electrical,Medium
there is a problem because chair is broken on the third floor this needs to be repaired,Furniture,Medium
there is a problem because lost room key needs replacement in block b i need help with this,Security,Medium
i am facing an issue where hostel security is inadequate near my room kindly resolve this,Security,High
there is a problem because door hinge is loose in the hostel room please send someone to check,Maintenance,Medium
i noticed that ceiling plaster is falling in room please send someone to check,Maintenance,High
bed has bed bugs in my room kindly resolve this,Pest Control,High
kindly fix this dust is everywhere in the room in room please fix it,Cleaning,Medium
fan is making a strange noise in my room please send someone to check,Electrical,Medium
the problem is that hostel entrance is not secure in block b i need help with this,Security,Medium
my room has an issue hostel security is inadequate in my room kindly resolve this,Security,High
there is a problem because mosquito problem is severe in block c please send someone to check,Pest Control,Medium
please check this washing machine has a strange noise on the second floor kindly resolve this,Laundry,Medium
wifi is not working can someone look into this,Internet,High
i am facing an issue where food tastes bad in block c can someone look into this,Mess/Food,Medium
i want to report that dryer is not working in block c can someone look into this,Laundry,Medium
i want to report that window glass is cracked in block a please fix it,Maintenance,Medium
please check this food quality is poor in the hostel room please get this fixed soon,Mess/Food,Medium
i want to report that lost room key needs replacement in room please send someone to check,Security,Medium
i am facing an issue where mattress is uncomfortable and damaged on the second floor i need help with this,Furniture,Medium
my room has an issue electrical switch is sparking in room kindly resolve this,Electrical,Medium
my room has an issue laundry machine keeps stopping in block b kindly resolve this,Laundry,Medium
there is a problem because chair is unstable in block a kindly resolve this,Furniture,Low
please check this room key is not working in block c,Security,Medium
the problem is that mattress is damaged in my room can someone look into this,Furniture,Medium
in my room room smells unpleasant in my room can someone look into this,Cleaning,Medium
i want to report that electricity keeps going off in room i need help with this,Electrical,Medium
i want to report that ac is leaking water on the third floor this needs to be repaired,Electrical,Medium
wall has water damage in my room,Maintenance,Medium
i want to report that hostel internet is disconnected on the third floor please fix it,Internet,Medium
please check this internet connection drops frequently in room kindly resolve this,Internet,Medium
in my room room is very dirty in block a please get this fixed soon,Cleaning,Medium
please check this corridor is dirty in the hostel room please fix it,Cleaning,Medium
there is a problem because mattress is uncomfortable and damaged in my room,Furniture,Medium
there is a problem because internet connection is unstable in room,Internet,Medium
the problem is that fan is making a strange noise near my room this needs to be repaired,Electrical,Medium
the problem is that bathroom tap is leaking in my room please send someone to check,Plumbing,Medium
my room has an issue dustbin is overflowing on the second floor please send someone to check,Cleaning,Medium
breakfast is not available in block a,Mess/Food,Medium
there is a problem because door hinge is loose on the third floor kindly resolve this,Maintenance,Medium
please check this wifi keeps disconnecting near my room,Internet,Medium
in my room room door does not lock properly in block a this needs to be repaired,Security,Medium
there is a problem because pest infestation in the room near my room this needs to be repaired,Pest Control,High
window glass is cracked in block a,Maintenance,Medium
there is a problem because someone entered the room without permission in block c,Security,High
in my room door cannot be locked near my room please fix it,Security,Medium
please check this window is broken in block b can someone look into this,Maintenance,Medium
there is a problem because sewage smell is coming from the drain in block b can someone look into this,Plumbing,Medium
i noticed that curtain is damaged in the hostel room please get this fixed soon,Maintenance,Low
